Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
HTML,Highlight.html,Highlight.html,34,32,0,2,0
License,LICENSE,LICENSE,22,17,0,5,0
HTML,index.backup.html,index.backup.html,54,46,8,0,0
gitignore,.gitignore,.gitignore,3,3,0,0,0
HTML,index.html,index.html,31,23,8,0,0
Markdown,README.md,README.md,84,67,0,17,0
Markdown,notebooks/README.md,README.md,0,0,0,0,0
Jupyter,notebooks/py3-in-one-pic.ipynb,py3-in-one-pic.ipynb,1843,1843,0,0,0
Objective C++,py3 in one pic.mm,py3 in one pic.mm,479,479,0,0,0
Jupyter,notebooks/.ipynb_checkpoints/py3-in-one-pic-checkpoint.ipynb,py3-in-one-pic-checkpoint.ipynb,1843,1843,0,0,0
Python,notebooks/MyModule/SubModuleOne/smo.py,smo.py,2,2,0,0,0
Python,notebooks/MyModule/SubModuleOne/__init__.py,__init__.py,0,0,0,0,0
